date,open,close,high,low,volume
2024-05-07,5.28,5.24,5.31,5.22,93014.08
2024-05-08,5.23,5.18,5.3,5.16,68766.19
2024-05-09,5.3,5.22,5.32,5.2,66220.11
2024-05-10,5.2,5.16,5.24,5.14,61810.43
2024-05-13,5.15,5.19,5.28,5.1,89814.17
2024-05-14,5.13,5.18,5.22,5.13,48882.72
2024-05-15,5.18,5.25,5.26,5.13,62090.47
2024-05-16,5.2,5.28,5.3,5.2,69489.4
2024-05-17,5.27,5.24,5.28,5.15,55897.85
2024-05-20,5.33,5.25,5.34,5.21,57806.47
2024-05-21,5.22,5.22,5.25,5.18,45478.09
2024-05-22,5.18,5.16,5.23,5.16,35498.24
2024-05-23,5.14,5.06,5.17,5.04,44573.07
2024-05-24,5.06,5.02,5.11,4.98,38774.07
2024-05-27,5.05,5.12,5.14,5.02,53302.62
2024-05-28,5.22,5.03,5.24,5.03,58806.09
2024-05-29,5.1,5.06,5.13,4.97,46451.54
2024-05-30,5.07,5.05,5.14,5.02,45998.59
2024-05-31,5.09,4.97,5.09,4.95,42590.23
2024-06-03,5.04,4.89,5.09,4.85,74056.05
2024-06-04,4.74,4.62,4.8,4.45,113407.64
2024-06-05,4.56,4.46,4.6,4.46,55671.23
2024-06-06,4.46,4.14,4.5,4.02,106024.06
2024-06-07,4.23,4.69,4.82,4.22,170791.48
2024-06-11,4.67,4.57,4.7,4.41,129764.76
2024-06-12,4.59,4.67,4.7,4.5,84179.52
2024-06-13,4.65,4.58,4.76,4.55,73188.19
2024-06-14,4.62,4.53,4.63,4.51,58819.43
2024-06-17,4.52,4.65,4.82,4.49,109685.28
2024-06-18,4.65,4.72,4.73,4.54,88625.21
2024-06-19,4.68,4.74,4.78,4.64,64873.24
2024-06-20,4.75,4.61,4.77,4.52,60714.0
2024-06-21,4.57,4.61,4.66,4.51,49428.0
2024-06-24,4.65,4.36,4.65,4.33,68079.89
2024-06-25,4.4,4.55,4.6,4.4,67995.67
2024-06-26,4.54,4.72,4.78,4.44,82334.69
2024-06-27,4.7,4.73,4.83,4.66,72645.52
2024-06-28,4.75,4.76,4.82,4.65,65502.14
2024-07-01,4.8,4.81,4.86,4.74,83137.37
2024-07-02,4.82,5.09,5.1,4.75,201938.71
2024-07-03,4.93,4.75,4.94,4.68,232097.87
2024-07-04,4.69,4.44,4.74,4.42,180009.66
2024-07-05,4.46,4.54,4.58,4.38,107215.83
2024-07-08,4.5,4.59,4.68,4.37,125786.62
2024-07-09,4.49,4.39,4.49,4.24,147222.17
2024-07-10,4.39,4.58,4.65,4.35,173049.26
2024-07-11,4.54,4.66,4.78,4.47,172141.8
2024-07-12,4.63,4.81,4.95,4.6,247229.54
2024-07-15,4.77,4.66,4.9,4.63,201610.07
2024-07-16,4.58,4.6,4.64,4.49,145610.06
2024-07-17,4.55,4.42,4.59,4.37,115291.83
2024-07-18,4.4,4.32,4.4,4.21,102061.64
2024-07-19,4.28,4.37,4.44,4.26,87656.62
2024-07-22,4.33,4.34,4.46,4.3,87155.46
2024-07-23,4.35,4.45,4.7,4.35,171578.47
2024-07-24,4.6,4.6,4.96,4.48,262072.66
2024-07-25,4.35,4.42,4.43,4.15,219885.28
2024-07-26,4.31,4.35,4.43,4.31,151270.09
2024-07-29,4.3,4.54,4.54,4.3,181700.28
2024-07-30,4.53,4.53,4.64,4.46,127531.82
2024-07-31,4.51,4.59,4.6,4.45,139879.8
2024-08-01,4.58,4.58,4.61,4.55,101543.46
2024-08-02,4.52,4.44,4.59,4.44,94976.0
2024-08-05,4.39,4.27,4.48,4.25,110643.0
2024-08-06,4.31,4.37,4.42,4.31,75015.78
2024-08-07,4.38,4.39,4.43,4.33,63939.09
2024-08-08,4.38,4.38,4.41,4.32,56472.05
2024-08-09,4.38,4.45,4.55,4.38,104144.5
2024-08-12,4.63,4.5,4.74,4.43,226474.76
2024-08-13,4.48,4.54,4.57,4.31,152536.17
2024-08-14,4.5,4.57,4.68,4.5,122623.78
2024-08-15,4.53,4.65,4.72,4.52,119909.91
2024-08-16,4.7,4.71,4.86,4.54,195505.0
2024-08-19,4.4,4.39,4.48,4.31,215185.07
2024-08-20,4.37,4.45,4.6,4.36,163453.24
2024-08-21,4.43,4.39,4.47,4.35,85359.83
2024-08-22,4.42,4.23,4.45,4.23,94155.82
2024-08-23,4.23,4.12,4.26,4.05,91488.1
2024-08-26,4.08,4.19,4.22,4.03,63114.23
2024-08-27,4.16,4.13,4.23,4.08,53008.59
2024-08-28,4.13,4.18,4.22,4.06,54107.21
2024-08-29,4.18,4.23,4.24,4.08,63656.84
2024-08-30,4.0,4.17,4.2,4.0,196138.12
2024-09-02,4.14,3.99,4.16,3.98,146476.56
2024-09-03,3.95,3.92,3.97,3.88,110345.14
2024-09-04,3.87,3.85,3.92,3.84,69661.36
2024-09-05,3.85,3.89,3.9,3.84,63195.0
2024-09-06,3.88,3.79,3.89,3.77,79413.0
2024-09-09,3.71,3.78,3.82,3.71,54410.94
2024-09-10,3.78,3.82,3.84,3.76,53604.27
2024-09-11,3.84,3.77,3.84,3.76,41466.67
2024-09-12,3.77,3.79,3.83,3.77,47683.44
2024-09-13,3.79,3.78,3.82,3.76,48109.0
2024-09-18,3.78,3.67,3.78,3.61,60916.0
2024-09-19,3.68,3.77,3.8,3.67,59239.0
2024-09-20,3.76,3.72,3.76,3.69,44480.0
2024-09-23,3.72,3.73,3.75,3.66,38745.53
2024-09-24,3.75,3.87,3.89,3.74,99509.98
2024-09-25,3.95,3.94,4.04,3.92,132230.41
2024-09-26,3.92,4.03,4.03,3.89,98398.79
2024-09-27,4.08,4.23,4.27,4.04,168905.41
2024-09-30,4.37,4.78,4.87,4.28,288512.25
2024-10-08,5.61,5.28,5.62,4.92,379694.22
2024-10-09,5.05,4.69,5.09,4.68,221600.76
2024-10-10,4.74,4.8,4.96,4.62,159515.71
2024-10-11,4.78,4.53,4.78,4.48,121483.35
2024-10-14,4.68,4.82,4.85,4.62,172059.21
2024-10-15,4.77,4.67,4.81,4.66,136378.95
2024-10-16,4.61,4.66,4.74,4.59,78294.0
2024-10-17,4.67,4.59,4.75,4.58,105126.62
2024-10-18,4.59,4.73,4.84,4.54,131275.27
2024-10-21,4.85,4.88,4.99,4.77,168755.58
2024-10-22,4.86,4.99,5.04,4.85,169002.63
2024-10-23,5.0,4.9,5.0,4.86,121567.58
2024-10-24,4.87,4.87,4.93,4.84,69868.88
2024-10-25,4.89,4.99,5.01,4.88,104975.22
2024-10-28,4.98,5.28,5.29,4.97,176281.39
2024-10-29,5.29,5.14,5.34,5.12,124559.0
2024-10-30,4.99,5.02,5.09,4.93,143830.64
2024-10-31,5.02,5.03,5.11,4.99,108041.87
2024-11-01,5.0,4.74,5.07,4.71,132617.87
2024-11-04,4.74,4.76,4.8,4.67,81197.71
2024-11-05,4.76,4.89,4.92,4.74,93894.28
2024-11-06,4.9,4.92,4.98,4.87,111475.4
2024-11-07,4.92,5.19,5.22,4.84,183813.5
2024-11-08,5.23,5.12,5.26,5.08,129531.76
2024-11-11,5.1,5.28,5.3,5.1,153947.96
2024-11-12,5.28,5.18,5.29,5.1,125788.95
2024-11-13,5.15,5.2,5.23,5.04,87336.27
2024-11-14,5.18,5.03,5.21,5.02,64992.45
2024-11-15,5.01,4.96,5.15,4.95,72592.0
2024-11-18,5.03,4.88,5.11,4.8,102311.0
2024-11-19,4.88,4.99,4.99,4.81,79067.14
2024-11-20,4.95,5.12,5.14,4.95,81015.73
2024-11-21,5.12,5.2,5.32,5.1,113376.85
2024-11-22,5.16,4.98,5.24,4.93,101593.53
2024-11-25,4.94,5.11,5.12,4.91,74613.0
2024-11-26,5.11,5.01,5.12,4.96,71151.46
2024-11-27,4.97,5.07,5.07,4.85,70488.0
2024-11-28,5.05,5.27,5.31,5.02,185397.22
2024-11-29,5.26,5.22,5.29,5.15,114023.53
2024-12-02,5.25,5.28,5.33,5.22,97327.98
2024-12-03,5.26,5.37,5.46,5.26,202622.05
2024-12-04,5.32,5.32,5.48,5.28,136109.88
2024-12-05,5.3,5.33,5.36,5.27,112009.87
2024-12-06,5.35,5.4,5.43,5.32,96911.0
2024-12-09,5.4,5.44,5.44,5.3,97529.42
2024-12-10,5.55,5.38,5.59,5.36,115324.53
2024-12-11,5.35,5.41,5.45,5.31,84970.03
2024-12-12,5.41,5.39,5.41,5.32,96904.03
2024-12-13,5.41,5.24,5.41,5.22,101528.02
2024-12-16,5.25,5.32,5.39,5.23,81303.0
2024-12-17,5.33,4.99,5.33,4.96,133329.01
2024-12-18,5.0,4.98,5.08,4.88,72031.26
2024-12-19,4.94,4.94,4.99,4.83,69866.0
2024-12-20,4.91,4.96,5.04,4.87,64526.77
2024-12-23,4.97,4.65,4.97,4.6,113273.0
2024-12-24,4.67,4.63,4.72,4.52,71871.26
2024-12-25,4.65,4.46,4.65,4.37,80778.4
2024-12-26,4.46,4.48,4.53,4.44,44378.37
2024-12-27,4.49,4.58,4.62,4.46,55840.03
2024-12-30,4.57,4.42,4.57,4.37,86418.6
2024-12-31,4.45,4.35,4.51,4.35,66922.32
2025-01-02,4.38,4.32,4.47,4.27,79371.63
2025-01-03,4.35,4.17,4.39,4.15,92885.68
2025-01-06,4.14,4.24,4.25,4.05,67450.28
2025-01-07,4.23,4.38,4.38,4.2,67639.61
2025-01-08,4.38,4.32,4.38,4.2,50153.52
2025-01-09,4.26,4.31,4.34,4.26,33453.32
2025-01-10,4.29,4.21,4.34,4.21,42235.0
2025-01-13,4.22,4.43,4.61,4.09,113196.38
2025-01-21,5.32,5.32,5.32,5.32,114010.17
2025-01-22,5.4,5.45,5.89,5.33,883590.39
2025-01-23,5.0,4.7,5.27,4.66,646044.0
2025-01-24,4.7,4.47,4.71,4.42,402586.3
2025-01-27,4.28,4.2,4.37,4.2,248957.0
2025-02-05,4.22,4.2,4.3,4.15,201542.0
2025-02-06,4.21,4.27,4.29,4.11,202659.01
2025-02-07,4.25,4.31,4.34,4.22,217267.22
2025-02-10,4.31,4.35,4.35,4.28,168421.7
2025-02-11,4.36,4.28,4.38,4.24,133879.81
2025-02-12,4.26,4.3,4.3,4.21,147401.0
2025-02-13,4.3,4.32,4.35,4.27,162302.9
2025-02-14,4.32,4.26,4.34,4.23,128411.14
2025-02-17,4.26,4.35,4.38,4.24,184455.55
2025-02-18,4.35,4.17,4.35,4.15,179424.83
2025-02-19,4.14,4.21,4.21,4.14,100258.81
2025-02-20,4.19,4.21,4.21,4.17,102641.28
2025-02-21,4.21,4.2,4.23,4.14,102727.52
2025-02-24,4.2,4.33,4.37,4.2,209037.42
2025-02-25,4.28,4.28,4.35,4.26,126908.42
2025-02-26,4.28,4.31,4.35,4.28,126395.61
2025-02-27,4.33,4.29,4.34,4.21,128914.57
2025-02-28,4.25,4.21,4.32,4.2,131623.51
2025-03-03,4.26,4.2,4.26,4.16,124798.3
2025-03-04,4.17,4.3,4.36,4.13,211457.89
2025-03-05,4.25,4.2,4.29,4.15,143665.61
2025-03-06,4.21,4.22,4.23,4.17,128042.45
2025-03-07,4.21,4.16,4.23,4.14,102299.82
2025-03-10,4.16,4.23,4.25,4.16,104975.82
2025-03-11,4.21,4.22,4.23,4.16,77825.64
2025-03-12,4.22,4.26,4.28,4.19,122612.3
2025-03-13,4.25,4.3,4.31,4.21,156238.16
2025-03-14,4.29,4.53,4.67,4.28,370217.78
2025-03-17,4.56,4.52,4.59,4.47,187249.44
2025-03-18,4.52,4.49,4.55,4.45,109835.14
2025-03-19,4.48,4.51,4.52,4.46,92700.52
2025-03-20,4.52,4.54,4.61,4.49,122555.47
2025-03-21,4.52,4.51,4.58,4.46,89637.0
2025-03-24,4.51,4.38,4.55,4.3,142218.53
2025-03-25,4.38,4.4,4.43,4.34,93772.43
2025-03-26,4.42,4.48,4.53,4.38,92558.23
2025-03-27,4.47,4.4,4.47,4.35,85505.28
2025-03-28,4.39,4.29,4.42,4.26,95545.11
2025-03-31,4.25,4.12,4.25,4.09,119812.25
2025-04-01,4.12,4.16,4.22,4.12,74338.0
2025-04-02,4.15,4.16,4.24,4.11,74992.11
2025-04-03,4.15,4.2,4.21,4.1,72068.4
2025-04-07,3.98,3.59,4.0,3.53,163039.45
2025-04-08,3.62,3.7,3.76,3.6,97912.89
2025-04-09,3.63,3.75,3.79,3.45,101103.84
2025-04-10,3.83,3.85,3.9,3.82,82718.79
2025-04-11,3.83,3.99,4.11,3.8,131309.0
2025-04-14,4.02,4.17,4.21,3.99,134677.34
2025-04-15,4.14,4.26,4.31,4.14,141780.84
2025-04-16,4.25,4.12,4.25,4.1,115582.75
2025-04-17,4.13,4.12,4.19,4.08,75789.07
2025-04-18,4.12,4.11,4.17,4.1,75822.02
2025-04-21,4.1,4.08,4.15,4.06,78104.82
2025-04-22,4.07,4.15,4.19,4.06,80186.57
2025-04-23,4.1,4.15,4.2,4.1,78237.03
2025-04-24,4.12,4.11,4.17,4.08,58714.92
2025-04-25,4.13,4.13,4.17,4.11,40629.46
2025-04-28,4.08,4.08,4.13,4.01,60064.92
2025-04-29,4.07,4.15,4.18,4.04,49777.85
2025-04-30,4.15,4.24,4.31,4.15,86050.52
2025-05-06,4.25,4.38,4.45,4.25,106030.46
2025-05-07,4.45,4.39,4.45,4.35,74690.46
2025-05-08,4.38,4.46,4.5,4.35,69514.26
2025-05-09,4.45,4.42,4.5,4.4,47946.08
2025-05-12,4.45,4.41,4.49,4.33,49253.08
2025-05-13,4.47,4.39,4.49,4.36,47968.05
2025-05-14,4.37,4.36,4.42,4.33,52803.18
2025-05-15,4.36,4.36,4.41,4.32,49107.05
2025-05-16,4.38,4.39,4.41,4.32,50624.0
2025-05-19,4.41,4.49,4.51,4.38,84471.94
2025-05-20,4.47,4.53,4.54,4.46,52380.1
2025-05-21,4.57,4.48,4.58,4.45,60239.0
2025-05-22,4.5,4.44,4.66,4.44,115773.97
2025-05-23,4.48,4.37,4.5,4.36,72680.6
2025-05-26,4.36,4.58,4.6,4.36,88633.38
2025-05-27,4.56,4.8,5.19,4.52,237168.59
2025-05-28,4.99,5.76,5.76,4.99,886746.84
2025-05-29,5.71,6.23,6.74,5.5,1199010.63
2025-05-30,5.86,5.31,5.97,5.31,791147.08
2025-06-03,5.16,5.27,5.39,5.05,547987.37
2025-06-04,5.16,5.39,5.44,5.08,511671.95
2025-06-05,5.28,5.15,5.32,5.12,333829.98
2025-06-06,5.15,5.01,5.15,4.96,268936.15
2025-06-09,5.01,5.1,5.1,4.98,218715.0
2025-06-10,5.35,5.41,5.71,5.27,608203.36
2025-06-11,5.31,5.17,5.35,5.16,365102.24
2025-06-12,5.15,5.18,5.21,5.1,229456.27
2025-06-13,5.18,5.06,5.19,5.01,220280.08
2025-06-16,5.05,5.1,5.11,4.92,152696.07
2025-06-17,5.07,5.05,5.07,4.98,154809.39
2025-06-18,5.01,4.97,5.04,4.95,115608.65
2025-06-19,4.97,4.85,4.98,4.81,145171.27
2025-06-20,4.92,4.81,4.92,4.8,84107.04
2025-06-23,4.8,4.93,4.95,4.79,108916.28
2025-06-24,5.05,5.01,5.15,4.97,162172.98
2025-06-25,5.03,5.01,5.12,4.98,154410.0
2025-06-26,5.0,5.06,5.13,4.97,186235.0
2025-06-27,5.12,5.08,5.18,5.04,136293.0
2025-06-30,5.08,5.09,5.1,5.02,112344.72
2025-07-01,5.09,5.09,5.12,5.03,99585.0
2025-07-02,5.09,5.14,5.16,5.08,133017.78
2025-07-03,5.12,5.12,5.17,5.09,89037.0
2025-07-04,5.12,5.03,5.13,5.02,97363.14
2025-07-07,5.03,5.11,5.12,5.0,79817.0
2025-07-08,5.1,5.15,5.17,5.08,109226.2
2025-07-09,5.17,5.1,5.19,5.07,94813.61
2025-07-10,5.08,5.1,5.12,5.06,75942.0
2025-07-11,5.1,5.1,5.12,5.02,87103.48
2025-07-14,5.09,5.11,5.14,5.07,66701.0
2025-07-15,5.08,4.99,5.1,4.94,117739.0
2025-07-16,5.01,5.04,5.06,4.98,63917.5
2025-07-17,5.04,5.01,5.07,5.0,55694.96
2025-07-18,5.03,5.03,5.05,4.98,60130.56
2025-07-21,5.06,5.13,5.14,5.06,114288.35
2025-07-22,5.13,5.09,5.13,5.04,83455.0
2025-07-23,5.11,5.08,5.18,5.08,110374.78
2025-07-24,5.08,5.15,5.16,5.07,97853.27
2025-07-25,5.15,5.12,5.18,5.09,103327.43
2025-07-28,5.11,5.14,5.17,5.09,83911.98
2025-07-29,5.14,5.08,5.17,5.01,99776.53
2025-07-30,5.07,5.06,5.09,5.02,86412.58
2025-07-31,5.06,4.99,5.07,4.95,98019.17
2025-08-01,5.0,5.1,5.13,4.96,132717.0
2025-08-04,5.05,5.15,5.15,5.02,97649.0
2025-08-05,5.23,5.2,5.26,5.18,106977.5
2025-08-06,5.19,5.31,5.37,5.18,179601.57
2025-08-07,5.31,5.31,5.36,5.27,106793.0
2025-08-08,5.29,5.36,5.36,5.25,107065.54
2025-08-11,5.37,5.44,5.45,5.32,104129.12
2025-08-12,5.44,5.58,5.69,5.4,218574.15
2025-08-13,5.58,5.45,5.61,5.42,197040.15
2025-08-14,5.43,5.29,5.43,5.27,132060.1
2025-08-15,5.29,5.31,5.36,5.27,83825.75
2025-08-18,5.32,5.33,5.43,5.29,130300.93
2025-08-19,5.33,5.42,5.44,5.28,107666.54
2025-08-20,5.39,5.48,5.49,5.35,99787.4
2025-08-21,5.5,5.57,5.62,5.44,135099.06
2025-08-22,5.56,5.48,5.63,5.44,109146.13
2025-08-25,5.47,5.44,5.52,5.41,103395.26
2025-08-26,5.45,5.61,5.63,5.42,131338.17
2025-08-27,5.6,5.29,5.6,5.28,193064.74
2025-08-28,5.34,5.23,5.43,5.0,179512.98
2025-08-29,5.2,5.15,5.23,5.1,96865.33
2025-09-01,5.14,5.25,5.32,5.06,118445.39
2025-09-02,5.25,5.33,5.49,5.19,154049.12
2025-09-03,5.33,5.18,5.38,5.16,95888.37
2025-09-04,5.21,5.34,5.42,5.17,178224.82
2025-09-05,5.34,5.4,5.41,5.2,149062.87
2025-09-08,5.42,5.48,5.5,5.37,112438.51
2025-09-09,5.5,5.41,5.51,5.4,97255.8
2025-09-10,5.41,5.43,5.48,5.38,76307.05
2025-09-11,5.43,5.62,5.75,5.31,302245.85
2025-09-12,5.61,5.38,5.68,5.37,258714.76
2025-09-15,5.38,5.31,5.41,5.26,138712.74
2025-09-16,5.31,5.37,5.4,5.27,102007.91
2025-09-17,5.34,5.26,5.36,5.25,122587.3
2025-09-18,5.24,5.1,5.3,5.05,159114.01
2025-09-19,5.08,5.05,5.13,5.0,101923.7
2025-09-22,5.05,5.01,5.08,4.91,98097.75
2025-09-23,4.97,4.93,5.0,4.79,116715.83
2025-09-24,4.93,4.98,4.99,4.87,71691.75
2025-09-25,5.02,4.9,5.04,4.87,85635.87
2025-09-26,4.89,5.04,5.1,4.86,126968.89
2025-09-29,5.0,5.07,5.11,4.9,102072.53
2025-09-30,5.06,5.0,5.11,5.0,73547.14
2025-10-09,5.01,5.05,5.09,4.99,80423.25
2025-10-10,5.03,5.12,5.18,4.99,108788.38
2025-10-13,5.01,5.17,5.17,4.91,111593.94
2025-10-14,5.17,5.17,5.23,5.13,91835.9
2025-10-15,5.17,5.2,5.23,5.14,70205.4
2025-10-16,5.19,5.14,5.23,5.09,55778.53
2025-10-17,5.09,4.91,5.11,4.86,195401.96
2025-10-20,4.95,5.05,5.08,4.93,124524.55
2025-10-21,5.05,5.19,5.2,5.02,83217.79
2025-10-22,5.2,5.2,5.27,5.16,78342.83
2025-10-23,5.18,5.24,5.25,5.07,83732.11
2025-10-24,5.25,5.19,5.25,5.16,64962.0
2025-10-27,5.19,5.16,5.2,5.09,86322.06
2025-10-28,5.13,5.16,5.19,5.1,85134.7
2025-10-29,5.17,5.05,5.17,5.02,84706.83
2025-10-30,5.04,4.99,5.07,4.99,73771.05
2025-10-31,5.0,5.1,5.13,5.0,78790.01
2025-11-03,5.09,5.16,5.19,5.09,78176.05
2025-11-04,5.14,5.2,5.2,5.13,65252.77
2025-11-05,5.14,5.25,5.26,5.12,75212.11
2025-11-06,5.24,5.23,5.26,5.15,74673.53
2025-11-07,5.21,5.28,5.31,5.19,85215.31
2025-11-10,5.3,5.28,5.31,5.24,74632.69
2025-11-11,5.27,5.36,5.41,5.23,85356.95
2025-11-12,5.35,5.36,5.43,5.29,61403.0
2025-11-13,5.36,5.4,5.42,5.3,70738.62
2025-11-14,5.4,5.48,5.54,5.37,113543.57
2025-11-17,5.46,5.51,5.54,5.44,87888.08
2025-11-18,5.51,5.42,5.51,5.37,75996.24
2025-11-19,5.42,5.32,5.44,5.29,87156.72
2025-11-20,5.32,5.32,5.4,5.27,77315.26
2025-11-21,5.28,4.95,5.36,4.93,149814.08
